"","x","y","c"
"1",1970,-0.977518480346536,"Danceability"
"2",1971,-1.17590016902176,"Danceability"
"3",1972,-0.63399355441124,"Danceability"
"4",1973,-1.57880048166559,"Danceability"
"5",1974,-1.0864210295002,"Danceability"
"6",1975,-1.16751734663932,"Danceability"
"7",1976,-1.05148519535266,"Danceability"
"8",1977,-0.944819950195386,"Danceability"
"9",1978,-0.409051298728146,"Danceability"
"10",1979,-0.21666350014894,"Danceability"
"11",1980,-0.729189209076824,"Danceability"
"12",1981,-0.469220558697337,"Danceability"
"13",1982,0.282648241896738,"Danceability"
"14",1983,-0.081428488085754,"Danceability"
"15",1984,-0.589586634716315,"Danceability"
"16",1985,0.0162044455120571,"Danceability"
"17",1986,-0.00204620049872084,"Danceability"
"18",1987,-0.655155356761573,"Danceability"
"19",1988,0.952407135486966,"Danceability"
"20",1989,0.197489817600575,"Danceability"
"21",1990,0.610141163275329,"Danceability"
"22",1991,0.358031012225909,"Danceability"
"23",1992,1.03517260508726,"Danceability"
"24",1993,0.836400167724371,"Danceability"
"25",1994,0.823228992265429,"Danceability"
"26",1995,0.82813697870703,"Danceability"
"27",1996,1.40999206621205,"Danceability"
"28",1997,0.44671526893591,"Danceability"
"29",1998,1.16145007028317,"Danceability"
"30",1999,0.879204510568631,"Danceability"
"31",2000,0.889449236064978,"Danceability"
"32",2001,0.547790463091404,"Danceability"
"33",2002,0.655809272371635,"Danceability"
"34",2003,0.849856293928516,"Danceability"
"35",2004,0.730494710791038,"Danceability"
"36",2005,0.344165703857207,"Danceability"
"37",2006,0.480271168655071,"Danceability"
"38",2007,0.653755584725011,"Danceability"
"39",2008,0.27216806233741,"Danceability"
"40",2009,0.524938719867217,"Danceability"
"41",2010,0.344402123665326,"Danceability"
"42",2011,0.241187123476364,"Danceability"
"43",2012,0.359950497419547,"Danceability"
"44",2013,0.366468265931863,"Danceability"
"45",2014,0.292586898406069,"Danceability"
"46",2015,0.596009147964781,"Danceability"
"47",2016,0.582530569507787,"Danceability"
"48",2017,0.759726565063395,"Danceability"
"49",2018,0.971416109928942,"Danceability"
"50",2019,0.951950638944565,"Danceability"
"51",2020,0.877351634489103,"Danceability"
"52",1970,-0.385345271316212,"Energy"
"53",1971,-0.296934774478387,"Energy"
"54",1972,-0.499624111270947,"Energy"
"55",1973,-0.186786592839551,"Energy"
"56",1974,-0.404585685507027,"Energy"
"57",1975,-0.865818331513776,"Energy"
"58",1976,-0.180324499129555,"Energy"
"59",1977,-0.0468599094921436,"Energy"
"60",1978,0.330860917736287,"Energy"
"61",1979,0.146385989587878,"Energy"
"62",1980,0.363035450682673,"Energy"
"63",1981,0.470338613740142,"Energy"
"64",1982,0.169499973966209,"Energy"
"65",1983,0.829535646461183,"Energy"
"66",1984,0.569077725728344,"Energy"
"67",1985,-0.0272516097527461,"Energy"
"68",1986,0.183821203557697,"Energy"
"69",1987,0.870005998435763,"Energy"
"70",1988,0.0424012286001314,"Energy"
"71",1989,0.390939911075691,"Energy"
"72",1990,0.127793324421449,"Energy"
"73",1991,0.225891756389666,"Energy"
"74",1992,0.0589530065953486,"Energy"
"75",1993,-0.137144278621891,"Energy"
"76",1994,-0.148763456190377,"Energy"
"77",1995,-0.230859042505084,"Energy"
"78",1996,-0.194396778946693,"Energy"
"79",1997,-0.266936097005048,"Energy"
"80",1998,0.156257523239153,"Energy"
"81",1999,0.419071416551156,"Energy"
"82",2000,0.243755203722366,"Energy"
"83",2001,0.515296249900438,"Energy"
"84",2002,0.173103050206957,"Energy"
"85",2003,0.379951402867582,"Energy"
"86",2004,0.389522376786049,"Energy"
"87",2005,0.498259136897124,"Energy"
"88",2006,0.455580880761898,"Energy"
"89",2007,0.594656692374593,"Energy"
"90",2008,0.550016314247112,"Energy"
"91",2009,0.866748993319208,"Energy"
"92",2010,0.78530987301265,"Energy"
"93",2011,0.578538636408951,"Energy"
"94",2012,0.678991960455771,"Energy"
"95",2013,0.844480468346099,"Energy"
"96",2014,0.955713551471486,"Energy"
"97",2015,0.493291362801033,"Energy"
"98",2016,0.313072931905147,"Energy"
"99",2017,0.179662505916069,"Energy"
"100",2018,0.100101236673403,"Energy"
"101",2019,0.320476208376158,"Energy"
"102",2020,0.0552957134372742,"Energy"
"103",1970,-0.224976672507366,"Key"
"104",1971,-0.476348030160884,"Key"
"105",1972,-0.518663129711571,"Key"
"106",1973,-0.0669154822824195,"Key"
"107",1974,0.0298713374462334,"Key"
"108",1975,-0.563785661501331,"Key"
"109",1976,0.0615429969913075,"Key"
"110",1977,0.172105881221384,"Key"
"111",1978,-0.292470853476149,"Key"
"112",1979,-1.13457630115253,"Key"
"113",1980,-0.371115025060237,"Key"
"114",1981,-0.151851841824405,"Key"
"115",1982,-0.986255967919612,"Key"
"116",1983,0.18842483800393,"Key"
"117",1984,0.290895170528103,"Key"
"118",1985,-0.0187558570068093,"Key"
"119",1986,-0.316898831261778,"Key"
"120",1987,-0.0565216494201358,"Key"
"121",1988,-0.0582811996483693,"Key"
"122",1989,0.0811843362440665,"Key"
"123",1990,-0.455440859825254,"Key"
"124",1991,0.0699189730693439,"Key"
"125",1992,-0.103657369902646,"Key"
"126",1993,0.518314138871887,"Key"
"127",1994,0.522221681283293,"Key"
"128",1995,-0.0213370950685296,"Key"
"129",1996,0.49421241727834,"Key"
"130",1997,0.601793454024635,"Key"
"131",1998,0.0149867765999622,"Key"
"132",1999,-0.072849237886678,"Key"
"133",2000,0.102082721209002,"Key"
"134",2001,0.115436496916492,"Key"
"135",2002,-0.1807135157522,"Key"
"136",2003,-0.0728759958757587,"Key"
"137",2004,0.163011964336659,"Key"
"138",2005,0.174173494213875,"Key"
"139",2006,0.00884963737229122,"Key"
"140",2007,0.322953646141675,"Key"
"141",2008,-0.143392359831188,"Key"
"142",2009,-0.256841489044739,"Key"
"143",2010,-0.153814924527304,"Key"
"144",2011,-0.186415016689693,"Key"
