"","x","y","c"
"1",1,-0.494288751673064,"Danceability"
"2",2,-0.390721875821033,"Danceability"
"3",3,0.14795698004648,"Danceability"
"4",4,-0.0776788544671241,"Danceability"
"5",5,0.154265347777545,"Danceability"
"6",6,0.572808733131515,"Danceability"
"7",7,0.68769986777163,"Danceability"
"8",8,0.554356174852146,"Danceability"
"9",9,-0.194815305840891,"Danceability"
"10",10,-0.354488048971957,"Danceability"
"11",11,0.795629141298943,"Danceability"
"12",12,1.38113856145336,"Danceability"
"13",1,1.12519658242076,"Energy"
"14",2,0.386698113383478,"Energy"
"15",3,1.27613556201457,"Energy"
"16",4,0.448174477153088,"Energy"
"17",5,0.687632799095176,"Energy"
"18",6,0.967603939758758,"Energy"
"19",7,-0.190491530842559,"Energy"
"20",8,-0.658529055392876,"Energy"
"21",9,0.0566739209028578,"Energy"
"22",10,-0.832305370431525,"Energy"
"23",11,-0.44491775351977,"Energy"
"24",12,-2.41108463677373,"Energy"
"25",1,-1.7261046278074,"Key"
"26",2,0.898427190302863,"Key"
"27",3,-1.43272390998143,"Key"
"28",4,0.612655359569379,"Key"
"29",5,1.39317145969529,"Key"
"30",6,0.120954227040764,"Key"
"31",7,-1.14826043267254,"Key"
"32",8,-0.957543007330483,"Key"
"33",9,0.388277872535168,"Key"
"34",10,0.177539935569888,"Key"
"35",11,0.130131982840631,"Key"
"36",12,0.452339615271263,"Key"
"37",1,-0.332355214193046,"Loudness"
"38",2,0.459897472518391,"Loudness"
"39",3,0.0903501856576374,"Loudness"
"40",4,0.00914340012675719,"Loudness"
"41",5,0.529719871625231,"Loudness"
"42",6,0.604533913325974,"Loudness"
"43",7,0.392702226219691,"Loudness"
"44",8,0.461261169278875,"Loudness"
"45",9,0.421205118724312,"Loudness"
"46",10,0.0457380438391934,"Loudness"
"47",11,0.408359430041374,"Loudness"
"48",12,0.118260004761195,"Loudness"
"49",1,0.890113632737103,"Mode"
"50",2,-0.11606858416926,"Mode"
"51",3,-0.154698776240725,"Mode"
"52",4,-1.07809183565221,"Mode"
"53",5,-0.611951797203932,"Mode"
"54",6,0.449816117945348,"Mode"
"55",7,-0.49768937840007,"Mode"
"56",8,-0.619430159220481,"Mode"
"57",9,0.37650920042646,"Mode"
"58",10,-0.272337776199255,"Mode"
"59",11,-0.396786037523436,"Mode"
"60",12,-0.768611929443795,"Mode"
"61",1,0.0334903584175589,"Speechiness"
"62",2,0.128679022028446,"Speechiness"
"63",3,0.114822061772004,"Speechiness"
"64",4,0.182380943704947,"Speechiness"
"65",5,-0.420273796672795,"Speechiness"
"66",6,-0.152226488340479,"Speechiness"
"67",7,1.49455596574939,"Speechiness"
"68",8,0.598758833330497,"Speechiness"
"69",9,-0.0287789262662613,"Speechiness"
"70",10,-0.447082211291076,"Speechiness"
"71",11,0.791349384046664,"Speechiness"
"72",12,0.537667363056273,"Speechiness"
"73",1,-0.717960088789589,"Acousticness"
"74",2,0.28476313098164,"Acousticness"
"75",3,-1.14420465749802,"Acousticness"
"76",4,-1.30677593672081,"Acousticness"
"77",5,0.164888049262078,"Acousticness"
"78",6,-1.08476378610026,"Acousticness"
"79",7,1.24417693668626,"Acousticness"
"80",8,1.13623882103948,"Acousticness"
"81",9,0.680246491776274,"Acousticness"
"82",10,0.126548672542899,"Acousticness"
"83",11,0.923940452289038,"Acousticness"
"84",12,1.06384361001585,"Acousticness"
"85",1,-1.78500869005824,"Instrumentalness"
"86",2,0.231820857230545,"Instrumentalness"
"87",3,1.18564051106989,"Instrumentalness"
"88",4,0.928354761748398,"Instrumentalness"
"89",5,-0.00639154223446406,"Instrumentalness"
"90",6,0.258673979081069,"Instrumentalness"
"91",7,0.520408884742512,"Instrumentalness"
"92",8,0.107365992375194,"Instrumentalness"
"93",9,0.225219784829757,"Instrumentalness"
"94",10,0.075145265811366,"Instrumentalness"
"95",11,-0.492731876732126,"Instrumentalness"
